vehicle_type,engine_capacity_cc,oil_filter_change_date,current_date,oil_filter_age_days,km_after_change,road_type,load_type,avg_oil_temperature,oil_viscosity_index,engine_rpm_avg,idling_percentage,ambient_temperature,fuel_type,driving_style,oil_pressure,oil_level_pct,coolant_temp,oil_filter_condition
Bus,1912,2023-09-06,2024-01-24,140,7914,highway,heavy,117.45071229516849,36.08571828405913,3228,7,16.04290268033246,Petrol,aggressive,5.704359410136414,84,93.61735698828815,Dark-Orange
Sedan,2905,2024-09-07,2024-09-20,13,1516,mixed,light,83.32179822929619,86.66013196744787,1526,15,39.43487882458794,Diesel,aggressive,1.8451632862525578,50,98.18902184689384,Green
Hatchback,3276,2023-02-11,2024-03-07,390,28841,city,medium,123.68819223261087,72.26082219568238,1677,34,33.76798320091453,Petrol,normal,0.9379161117818764,59,102.67434729152909,Red
LCV,1645,2023-10-25,2024-09-10,321,40933,offroad,heavy,101.28682798964728,33.207706855896355,2433,23,49.48275322312652,Petrol,aggressive,2.0288102160180066,23,89.74830192821852,Red
Sedan,1827,2023-11-20,2024-07-09,232,30340,offroad,light,103.62943407349051,76.91226220643853,1792,15,33.69489569603978,Diesel,normal,3.694031624902176,41,75.86719755342202,Orange
Sedan,2338,2024-03-28,2024-08-13,138,27325,highway,heavy,122.24667621426991,87.52618158047659,2792,30,24.370930659149593,Diesel,calm,1.7346088663686805,44,79.7612400238414,Orange
Sedan,5646,2024-08-25,2024-12-11,108,14529,mixed,heavy,96.37963886718184,39.77412236678544,3799,39,24.195956298302733,Diesel,calm,3.8556688942541406,48,80.87696298664709,Dark-Orange
Truck,4509,2024-04-11,2024-10-13,185,9559,highway,heavy,100.55787558613623,90.2772036766666,2126,15,42.72277775270375,Diesel,calm,4.245370737371198,21,100.97720466912608,Red
LCV,5885,2023-08-02,2024-02-13,195,24027,mixed,heavy,101.83425913212226,77.6198387179563,1969,39,41.28072298570634,Diesel,aggressive,4.870550507739637,16,96.10922589709867,Red
Bus,3786,2023-07-03,2024-02-10,222,8891,city,heavy,100.99619224841132,83.33735393364452,3579,11,45.46814994428684,CNG,normal,1.454403163842772,79,104.47439821046639,Red
