vehicle_type,engine_capacity_cc,oil_filter_change_date,current_date,oil_filter_age_days,km_after_change,road_type,load_type,avg_oil_temperature,oil_viscosity_index,engine_rpm_avg,idling_percentage,ambient_temperature,fuel_type,driving_style,oil_pressure,oil_level_pct,coolant_temp,oil_filter_condition
Bus,3912,2023-09-06,2024-01-24,140,7914,highway,heavy,117.28196152534255,32.22478756372485,2691,18,21.979826801722187,Petrol,aggressive,4.311103009774891,91,88.45816215182793,Orange
Truck,6436,2023-06-19,2024-04-15,301,18919,city,light,86.90876807812971,40.88356498682471,2489,11,17.782375301404436,CNG,normal,1.5319400725840522,64,96.13041109784119,Dark-Orange
SUV,2140,2024-02-24,2024-09-04,193,4819,offroad,heavy,107.71128728269252,45.952879295608284,2392,10,40.65953163045441,CNG,normal,5.7656601671539836,68,91.08592055149722,Dark-Orange
Hatchback,1533,2024-02-26,2024-06-12,107,14694,city,heavy,101.14300494755405,62.3582148295781,1776,40,21.58845521910807,CNG,calm,2.7835550392842703,27,83.33768495778403,Orange
Hatchback,2021,2024-01-16,2024-05-03,108,19817,offroad,light,97.99259243452867,62.119629681117914,2342,13,22.398825230819504,CNG,normal,4.087524737897329,53,101.14548340782903,Yellow
LCV,3838,2024-04-11,2024-10-13,185,9559,highway,heavy,116.59181780383008,41.198740120571514,2196,32,32.892270921959216,Diesel,calm,3.1162202142097506,96,115.15539175939476,Dark-Orange
Truck,3094,2024-09-27,2024-11-24,58,8092,offroad,heavy,91.8865352071239,80.54644429169375,2236,21,44.15664296610343,Diesel,calm,5.190792094786356,84,115.64716007543639,Yellow
Hatchback,2239,2024-07-21,2024-10-07,78,6321,highway,heavy,106.96779478960644,55.40865370266535,2351,24,22.183569310141763,CNG,calm,2.324793758459782,92,108.99976510610858,Light-Green
LCV,3671,2023-05-29,2024-02-25,272,42298,highway,heavy,97.12212061310329,97.50540342052187,3604,17,36.38846918457365,Diesel,aggressive,3.19445764998586,67,95.50926134736355,Red
SUV,1707,2023-10-13,2024-04-03,173,2421,highway,heavy,91.08520542112868,93.37940091042896,2380,26,17.125720496659603,Petrol,calm,2.309025489029474,82,83.82140674521561,Yellow
Truck,7720,2023-12-10,2024-08-08,242,39548,highway,light,94.32257761442243,62.69172676256725,3993,8,35.200936418799046,Petrol,aggressive,6.412908662512813,32,84.4035794771073,Dark-Orange
SUV,1709,2023-07-08,2024-04-07,274,26094,mixed,light,83.74322567587352,94.62859194932089,2707,40,17.93726184604801,Diesel,normal,4.586796916991871,89,104.26096547779832,Red
SUV,1684,2023-07-10,2024-03-14,248,25161,mixed,light,75.07543824229992,57.32952303114692,2731,23,27.69022457970489,Petrol,normal,6.265247024728202,91,98.16549591827608,Orange
LCV,2317,2023-12-21,2024-04-10,111,21540,city,heavy,86.52286697532772,94.35709915824526,2043,15,16.706387391860535,Diesel,calm,3.7930567334638017,43,78.0778552783903,Yellow
Sedan,2026,2023-10-16,2024-02-19,126,15119,city,heavy,108.66032999497918,52.1458892183709,2334,18,35.09177924309488,Petrol,normal,2.7280112453756686,53,95.56940686729362,Yellow
Hatchback,2136,2024-05-19,2024-06-25,37,435,city,light,92.70596429170679,39.27195992565271,1857,9,41.37810727453628,CNG,calm,3.0323989880638615,40,95.7686396778857,Light-Green
Hatchback,2452,2024-11-13,2024-11-17,4,547,offroad,heavy,105.57760116191655,40.88135368424933,1788,18,36.52836561416394,Petrol,calm,2.119785217800991,53,95.2005295541285,Green
SUV,1389,2024-06-26,2024-11-14,141,2591,offroad,light,85.07372428819451,79.39672127319935,2948,5,18.356216417680052,CNG,normal,6.197780164756515,39,94.09566012219328,Yellow
Hatchback,2392,2024-01-29,2024-09-05,220,7527,offroad,medium,84.84797623412064,37.19555351702499,2946,31,44.215110679118666,Petrol,normal,5.122126861289466,50,115.02325969700837,Dark-Orange
